Contact Person,Designation,Organization,LinkedIn Profile
 Vishal Kothari,CMD,Agrolt Solutions Pvt. Ltd.,https://in.linkedin.com/in/vishalkkothari
 Manoj Ramaswamy,Co-founder & CFO,Agrosperity Tech Solutions Pvt Ltd,Not found
 Abhinav Mahajan,Director,Agsure Innovations Pvt Ltd,https://in.linkedin.com/in/abhinav-mahajan-0349b773
 Ashwin Chandrasekaran,Co-Founder & Director,AI Health Highway India Pvt Ltd,https://ae.linkedin.com/in/ashwinchandrasekaran
 Nadine Sangster,Dr Nadine Sangster,AI Innovators Lab,https://tt.linkedin.com/in/nadine-sangster-4a823512
 Nishtha Rohatgi,Nishtha Rohatgi,AI.HYR (Providentia Labs Pvt. Ltd.),https://in.linkedin.com/in/nishtharohatgi
 Ramya Achar,CEO,Aicumen Corporation Private Limited,https://in.linkedin.com/in/ramya-achar-9500bb171
 Anurag Kumar,Chief Marketing Officer,AIDETIC SOFTWARE PRIVATE LIMITED,https://in.linkedin.com/in/anurag-kumar-l29l12l1996
 Archana Kumari,CEO,Aidhive Workshop Private Limited,https://in.linkedin.com/in/archana-sharma1218
 Ani Sam Varghese,CEO,AiDrone Pvt. Ltd.,https://in.linkedin.com/in/anisamvarghese
 Mishty Kharbanda,"Founder, CEO",AidWave,https://in.linkedin.com/in/mishty-kharbanda-647959268
 Devibala Adaikalam,Propreior,AIKA Enterprises,https://in.linkedin.com/in/devibala-a-0281512a6
 Adnan Haider,Solution Head,Aikenist Technologies Pvt Ltd,https://in.linkedin.com/in/adnan-haider-b1307a190
 Mohak Biala,Co-Founder,AIMSwasthya,https://in.linkedin.com/in/mohak-biala-5baa41278
 Nitin Saraswat,CEO,AiProff Software Consulting Private Limited,https://in.linkedin.com/in/nitinsaraswat
 Videt Jaiswal,Founder & CEO,Airblack Technologies Private Ltd,https://in.linkedin.com/in/videtjaiswal
 AJAY VISHWATH,ASSISTANT VICE PRESIDENT,AIRBOTIX TECHNOLOGY PVT LTD,https://in.linkedin.com/in/ajay-vishwath-n-c-644aa447
 Danish Ghori,Danish Ghori,Airbots Aerospace Private Limited,https://in.linkedin.com/in/danish-ghori-09767620a
 Bibhuti Rajput,Bibhuti Rajput,Airbuddy Aerospace Pvt Ltd,https://in.linkedin.com/in/bibhutirajput
 Mohak Batra,director,Airhomestays,https://in.linkedin.com/in/mohak-batra-ba629033b
 Raj Bikram Maharjan,CEO,Airlift Technology Pvt Ltd,Not found
 Punit Vaya,Founder,AiRotor Technologies LLP,https://in.linkedin.com/in/punit-vaya-8931b2100
 RAVI KAUSHIK,CEO,AIRTH,https://in.linkedin.com/in/ravi-kaushik
 Pratik Patel,Founder and CEO,Airx Innovations Pvt Ltd,https://in.linkedin.com/in/pratik-patel-0ab053109
 Siddharth Jena,Founder Director,Akashalabdhi Space,https://in.linkedin.com/in/siddharth-jena-2a3582160
 Kirthivasan Perialwar,"Co-Founder , Managing Director",Akihiro Technologies Pvt Ltd,https://www.linkedin.com/in/kirthivasan-perialwar-2827aa12
 Amruth Raj,Akin Analytics Solutions Private Limited,AKIN ANALYTICS SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/mi-amruthraj
 Janaki P,Founder,AkinAnalytics,https://in.linkedin.com/in/janaki-p-58514915b
 Ankit Garg,CEO,AKKOPINAKI INDIA PRIVATE LIMITED,https://in.linkedin.com/in/ankitchiitr
 Thiyam Akuvan,CEO,Akumen Artificial Intelligence Pvt Ltd,https://in.linkedin.com/in/thiyam-akuvan-053596232
 Mehul Singhvi,Director,AKVP Nexttech Innovations Private Limited,https://in.linkedin.com/in/mehul-singhvi-3a2228200
 Ashish Kulshreshtha,Ashish Kulshreshtha,ALCOMOTIVE INDIA PRIVATE LIMITED,https://in.linkedin.com/in/ashish-kulshreshtha-95587a326
 S V Ravikumar Yadavilli,Founder,Algohire Technologies Private Limited,https://in.linkedin.com/in/yadavilli
 RAVI KIRAN,Founder & CEO,ALIEN INNOVATIONS,https://in.linkedin.com/in/t-ravi-kiran-b25566211
 Piyush Shah,Chief Executive Officer,AlignTogether Solutions Private Limited,https://in.linkedin.com/in/piyush-shah-750a243
 Ekant Babani,Ekant Arun Babani,Alligator Media Pvt Ltd,https://in.linkedin.com/in/ekant-babani-05121b6
 Bhavya Sharma,VP Sales,Alltechlabs Pvt LLtd,https://in.linkedin.com/in/bhavya-sharma-02411612a
 Mrinal Tayal,CEO,Almerio Defence and Aerospace,https://in.linkedin.com/in/mrinal-tayal-7278b07
 Nimisha Varma,Nimisha Varma,Aloe Ecell Pvt Ltd,https://in.linkedin.com/in/nimivarma
 Rajiv Mittal,Director,Alpha Bridge Technologies Private Limited,https://in.linkedin.com/in/mittalraji
 Shivam Singh Bhadauria,Director,Alphadroid India Private Limited,https://in.linkedin.com/in/shivam-singh-bhadauria-607b8b74
 Sooraj Surendran,Managing Director,Alphageek Enterprises Private Limited,https://in.linkedin.com/in/sooraj87
 Dhrumil Thakkar,Founder,Alphatron Electric Mobility Pvt Ltd,https://in.linkedin.com/in/idhrumilthakkar
 Rahul Vats,110017,Amala Life,https://in.linkedin.com/in/rahul-vats-a24a1713b
 Aman Porwal,Aman Porwal,Aman Porwal,https://in.linkedin.com/in/aman-porwal-72047a219
 MEENAL KHANNA,FOUNDER & DIRECTOR,AMANTYACARE PRIVATE LIMITED,Not found
 NEHA MITTAL,NEHA MITTAL,AMBE NS WELLNESS PRIVATE LIMITED,https://in.linkedin.com/in/neha-mittal-54b7ab277
 Jeeten Desai,Founder,Ambiator Private Limited,https://in.linkedin.com/in/jeetendesai
 Piyush Gupta,Founder,Ambrosia Systems India Pvt Ltd,https://www.linkedin.com/in/piyushambrosiasystems
 Abhishek Gautam,Founder,AMBULA,https://in.linkedin.com/in/abhishekkumargautam
 Yash Kumar Goel,Director & CEO,Ambuvians Healthcare Private Limited,https://in.linkedin.com/in/ykgoel
 Sengmitchi C Marak,Founder,Amis Accessorries,https://in.linkedin.com/in/sengmitchi-marak-70a925332
 Amit Kunal,Founder & CEO,Amit Kunal,https://in.linkedin.com/in/amitkunalsh
 Abhishek Pandey,Performance Marketing,Amiy Naturals,https://in.linkedin.com/in/abhishek-pandey-b4265018
 Shrijan Tayde,CEO and Founder,Amlaan RiverCorp,https://in.linkedin.com/in/arcindia
 Hari balaji Munisamy gopi,Executive director,AMMAN MILLET FOODS PRIVATE LIMITED,https://in.linkedin.com/in/haribalaji
 AMRIT DIXIT,FOUNDER AND MANAGING DIRECTOR,AMRIT MediTech Private Limited,https://in.linkedin.com/in/amrit-dixit-953039149
 AGNI MITRA,FOUNDER DIRECTOR,AMWOODO ECO PRODUCTS PVT LTD,Not found
 Chitranjan Singh,Chief Executive Officer,Ananant Systems Private Limited,https://in.linkedin.com/in/chitranjan-singh-a763ab9b
 Anant Khairnar,Director,Anant Kotton Sculptures LLP,https://in.linkedin.com/in/anant-khairnar-b3538864
 Bharat Pritmani,Co-Founder,Anantshree Vehicles Pvt Ltd,https://in.linkedin.com/in/bharat-pritmani
 Markand Pathak,Co-Founder,Anedya Systems Private Limited,https://in.linkedin.com/in/markandpathak
 Kunjpreet Arora,CEO,Angirus Ind Pvt Ltd,https://in.linkedin.com/in/kunjpreet-arora-1a9599126
 Ankit Mudpe,Founder and Director,Ankit Kudpe,https://in.linkedin.com/in/ankit-ajay-mudpe-27401a169
 SADHANA KUMARI,DIRECTOR,ANKURAM ROBO PRIVATE LIMITED,https://in.linkedin.com/in/dr-sadhana-jha-9171ba6a
 ARPIT KRISHAN,MANAGING DIRECTOR,ARPIT KRISHAN,https://in.linkedin.com/in/arpit-krishan-2a39931a7
 Yashas S,Product Manager,Artiztellar Network Private Limited,https://in.linkedin.com/in/yashas25
 Abhishek Jha,Founder,Arunoday optimized nexus for innovative exploration private limited,https://www.linkedin.com/in/abhishek-jha-56785017a
 Shubham Gupta,Co-Founder,ARUYOG HEALTH & WELLNESS PRIVATE LIMITED,https://in.linkedin.com/in/shubham-gupta-ba1508157
 Nidhi Panchmal,Nidhi Panchmal,Arva Health,https://in.linkedin.com/in/nidhi-panchmal
 Arvind Kumar,Founder,Arvind Kumar,https://in.linkedin.com/in/arvind-kumar-2387b914
 Sanjay Kumar Garg,Sanjay Kumar Garg (Aryav Ecofriendly Resources Pvt Ltd),Aryav Ecofriendly Resources Pvt Ltd,https://in.linkedin.com/in/sanjay-kumar-garg-75289924
 Obiora Umegbolu,CO-FOUNDER (INNOVATION & GROWTH SPEACIALIST),ASACCOV GLOBAL NIGERIA LIMITED,https://uk.linkedin.com/in/obiumegbolu
 Asutosh Nanda,CEO and Director of the company,ASAN Innovations and Research Pvt. Ltd,https://in.linkedin.com/in/ashutoshnanda
 Koteswara Rao M,Koteswara rao M,Ascription Technologies Pvt,https://in.linkedin.com/in/koteswara-rao-m-9b952967
 Kuldeep Parashar,Founder,Asht Capital Private Limited,https://in.linkedin.com/in/kuldeepparashar
 Pradip Bhowmick,Director,ASPIC Innovations Private Limited,https://in.linkedin.com/in/pradip-bhowmick
 Prachujya Borah,Prachujya Borah,Assam Attar,https://in.linkedin.com/in/prachujya-borah-729534228
 Naveen Prabhat,CEO,Astomverse Innovations Pvt. Ltd.,https://in.linkedin.com/in/naveenprabha-t
 Kunwar Varun Singh Tanwar,Business Development Head - Defence,Astrome Technologies Private Limited,https://in.linkedin.com/in/col-kunwar-varun-singh-tanwar-vsm-132a29248
 Nitin Singhal,Director,ATASEE FIRE INDUSTRIES P LTD,https://in.linkedin.com/in/nitin-singhal-a307aa53
 Sashidhar Burla,Director Techno -Commercial,ATGC Biotech,Not found
 Mohd Suhail,Founder and CEO,Athar Packaging Solutions,https://in.linkedin.com/in/mohd-suhail-174872a3
 Atharv Raut,Founder & CEO,Atharv Raut India Pvt. Ltd.,https://in.linkedin.com/in/atharv-raut
 Akhshat Sri Mohan,CEO,ATROBOT DRONES PVT LTD,https://in.linkedin.com/in/akhshat
 ANOOP RAIZADA,CO-FOUNDER,ATTACKFENCE TECHLABS,https://in.linkedin.com/in/anoop-raizada-71813a46
 Puneet Dutta,Puneet,ATTAWARE Biodegradable,https://in.linkedin.com/in/14728
 Atul Singh,Owner,atulpatiram logistics LLP,https://in.linkedin.com/in/atul-singh-793a1551
 Ajay Solanki,Founder,Atyadhunik Farming Pvt. Ltd,https://in.linkedin.com/in/ajay-solanki-b7b27430a
 Srinivas Parikshith,srinivas parikshith,Auckam Technologies Private Limited,https://in.linkedin.com/in/srinivas-parikshith-74421252
 Pankaj Manchanda,Pankaj Manchanda,AUGTRAVELER,https://in.linkedin.com/in/pankajmanchanda
 Ekta Mahesh Chandan,Director,Aum Paper Products Private Limited,https://in.linkedin.com/in/ekta-chandan-8b14a413
 SUDHANSHU SHEKHAR,DIRECTOR,AUMNATIC SYSTEMS PRIVATE LIMITED,https://in.linkedin.com/in/sudhanshu-shekhar-a1256ba3
 SAURABH MAURYA,MD,AUPARI ENTERPRISES,https://in.linkedin.com/in/saurabh-maurya-b01bb53a
 Keshav Agarwal,Founder and CEO,Aurjobs,https://in.linkedin.com/in/keshav-agarwal-in
 Parag Ghosh,Director,Auspice Condiments India Pvt Ltd,https://in.linkedin.com/in/parag1974
 Mayur Patil,CEO & Founder,AuthnPay,https://in.linkedin.com/in/mayur-patil-6b53b920a
 Santhoshi Sushma Buddhiraju,CEO/Director,Autocracy Machinery Private Limited,https://in.linkedin.com/in/santhoshi-buddhiraju-2b5b353a
 Noel Thomas,Director - Sales,AutomatR,https://in.linkedin.com/in/noelthom
 Prabakar Ramanujam,CEO,Autometry Technologies Private Limited,https://in.linkedin.com/in/prabakar-ramanujam-930803211
 SUJATA MENGANE,DIRECTOR,AUTOQED SOFTWARE SERVICES PVT LTD,https://in.linkedin.com/in/sujata-mengane-36b46589
 Anu Mandal,Mrs Anu Mandal,AVACreations Social Impact Foundation,https://in.linkedin.com/in/anu-mandal-36944a24
 Abhishek Chachan,Abhishek Chachan,Avasar Works Private Limited,https://in.linkedin.com/in/abhishekchachan
 NILUTPAL CHOUDHURY,DIRECTOR,AVGARDE SYSTEMS PVT LTD,https://in.linkedin.com/in/nilutpal-choudhury-62689153
 Avinash Kumar,CEO,Avi HealthTech Pvt Ltd,https://in.linkedin.com/in/link-avinash-kumar
 Arijit Majumdar,Arijit Majumdar,Avinya Infinity Solutions Private Limited,https://in.linkedin.com/in/arijit-majumdar-0517a11a9
 Jenil Gandhi,Founder & Director,Avinya: Guilt Free Fashion,https://in.linkedin.com/in/jenil-g
 Prashanth Kumar,"co-Founder, Director",AvirahTech Solutions Pvt Ltd,https://in.linkedin.com/in/prashanth-kumar-81b24434
 MEHUL BAGARIA,Director,Avkalan Labs Private Limited,https://in.linkedin.com/in/iitrmehul
 Amit Chavan,CEO,AVN Agrobharat Pvt Ltd,https://in.linkedin.com/in/amit-chavan-93190a255
 Dinesh Reddy,Dinesh Reddy,Avon Defence Systems Pvt.Ltd.,https://in.linkedin.com/in/dineshreddyi
 Akshay Awasthi,CEO,Aweri Foods,https://in.linkedin.com/in/akshayawasthi765
 Dongmuk Kim,CEO,"Awesome LAB Co., LTD.",https://kr.linkedin.com/in/awesome-martin
 Sweta Verma,Founder,AWiGi LLP,https://in.linkedin.com/in/dr-sweta-verma-0583618
 Chetna Dagar,Program Manager,Awiros,https://in.linkedin.com/in/chetna-dagar-3a667198
 Praveen Bala,Founder,Axial Aero Private Limited,https://in.linkedin.com/in/praveen-bala-bp
 Anuj Modi,Director,AXL Infotech Pvt. Ltd.,https://in.linkedin.com/in/anooj-modi-495b5114
 Koushik Bose,Director,Azeedo Private Limited,https://in.linkedin.com/in/koushikboseazeedo
 Rovin Sharma,Rovin Sharma,AZISTA BST AEROSPACE PRIVATE LIMITED,https://in.linkedin.com/in/rovin-sharma-32b49153
 Sanjay Kumar,Business Head,B School Bulls (Intern Kings Services Private Limited),https://in.linkedin.com/in/sanjay-kumar-542642a0
 Kamal Pandey,Director,Baba Agrotech,https://in.linkedin.com/in/kamal-pandey-83624716
 Manish Kumar Swain,Director,BabyCue Private Limited,https://in.linkedin.com/in/manishkumarswain
 Vaibhav Jain,Head of Partnerships,Badho Technologies Private Limited,https://in.linkedin.com/in/vaibhav-jain-8560765
 Syed Ashad,Director,Bafa Bags India Private Limited,https://in.linkedin.com/in/syed-badrul-ashad-11420914b
 Aakriti Srivastava,Founder,Bahula Naturals,https://in.linkedin.com/in/aakriti-srivastava16
 Fahmeeda Choudhry,Founder,BAMBOOLOGY,https://in.linkedin.com/in/bamboology-private-limited
 NIKHIL GANDHI,FOUNDER & CEO,BANAMIN HEALTHCARE LLP,https://in.linkedin.com/in/nikhilrgandhi
 ANMOL BHATIA,FOUNDER DIRECTOR,BANC BIOPOLYMERS PVT LTD,https://in.linkedin.com/in/anmol-bhatia-10569a90
 Priyaranjan Das,Director,Bandhu renewable private limited,https://in.linkedin.com/in/priyaranjan-das-71b496a0
 Nirmesh Kumar,Nirmesh Kumar,Bandiz Technoz Pvt Ltd,https://in.linkedin.com/in/nirmeshkumar
 Anil Paremal,CEO,Bangalore Rusks and Snacks Pvt Ltd,https://in.linkedin.com/in/anilparemal
 BANI PAL SINGH,BANI PAL SINGH,BANI LOUNGEWEAR LLP,https://in.linkedin.com/in/bani-pal-singh-482930285
 Rajat Chopra,Founder & CEO,BankersKlub,https://in.linkedin.com/in/rajatchopraind
 BIMAL POUDEL,CO-FOUNDER and CEO,BARNAA TEAS PRIVATE LIMITED,https://in.linkedin.com/in/chitra-poudel-47415937
 Durlabh Kumar Rawat,Founder & CEO,Barosi,https://in.linkedin.com/in/durlabh-rawat-74203828
 Ajay Yadav,Director,BASTIONEX INDIA TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/ajay-yadav-cpo
 RAJ SANTRA,Director,BBX Infotech Private Limited,https://in.linkedin.com/in/rajsantra
 Priyank Jain,Priyank Jain,Be Cre8v,https://in.linkedin.com/in/priyank-jain-5a342b33
 Sanjay Ojha,Sanjay Ojha,BEAUTYFYN PVT. LTD.,https://in.linkedin.com/in/thesanjayojha
 Raj Kumar Vijay Byrsat,Founder,Bee Natural,https://in.linkedin.com/in/r-k-vijay-byrsat-780b5210a
 Shyam Parmar,Founder,BehaveNeu,https://in.linkedin.com/in/shyam-a-parmar
 Swapnil Patel,CEO,BEIYO TECHNVEN PVT LTD,https://in.linkedin.com/in/swapnilpatel04
 NEELAM SARANGI,CEO,bekar ko aakar,https://in.linkedin.com/in/neelam-sarangi-89992a2b1
 Devendra Kumar,Devendra Kumar,Bellyvoids Pvt Ltd,https://in.linkedin.com/in/devendra-kumar-6060b2170
 SHRUTI SINGH,CMO,BHAARAT HEMP AGRO PVT LTD,https://in.linkedin.com/in/shruti-singh-b1b413144
 Surajit Kashyapi,Founder & CEO,Bharat Fishmate Private Limited,https://in.linkedin.com/in/casurajitkashyapi
 Hanna Joseph,Bharat Helix PVT LTD,Bharat Helix PVT LTD,https://in.linkedin.com/in/hanna-joseph-40925814a
 Muskan Sharma,CEO,Bharat Svarga LLP,https://in.linkedin.com/in/muskan-sharmaa
 Keshav Jha,CTO,BHARATAI INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/keshavjha99
 Pravin Adik,Founder & CEO,BharatGo,https://in.linkedin.com/in/pravinadik
 Shruti Mehata,Founder and CEO,BHARATGODAM SOLUTIONS LLP,https://in.linkedin.com/in/priya-mehata-347112277
 Ankur Agarwal,Sales Manager,BharathiAsha Technologies Private Limited,https://www.linkedin.com/in/ankuragarwalclarion
 SHASHANK PANDEY,DIRECTOR,BHASHABHRAT TXTILE DESIGN PVT LTD,https://in.linkedin.com/in/shashank-pandey-45974325
 Yamini Vats,Founder,Bhavatsyam,https://in.linkedin.com/in/yamini-vats-4b886476
 GURIYA KUMAR,COO,BHOJPATTA AGRIPRENEUR PRIVATE LIMITED,https://in.linkedin.com/in/nitish-kumar-a28903254
 Siddhartha Khare,Founder,Bhoomicam Private Limited,https://in.linkedin.com/in/siddhartha-khare-503a4429
 Ajay kumar Katta,Founder,Bid Alert (V Change Solutions),https://in.linkedin.com/in/kattaajaykumar
 Kalash Nibijya,Founder & CBO,Bidaal Technology Pvt Ltd,https://in.linkedin.com/in/kalash-nibjiya-197741172
 Aditya Krishnakumar,Cofounder,Bidso India Private Limited,https://in.linkedin.com/in/aditya-krishnakumar-02244531
 Harshal Gupta,Co founder,Bidyourstay,https://in.linkedin.com/in/inharshalgupta
 Md Samiruddin Ansari,Md Samiruddin Ansari,BigBlare Innovations LLP,https://in.linkedin.com/in/samiruddin-ansari-018738326
 Stuti Lal,Stuti Lal,Bikalp Herbals Private Limited - Startup,Not found
 Bikash Kumar Mohanty,CEO,Bikash Mohanty,https://in.linkedin.com/in/bikashmohanty
 Gaurav Gupta,Cofounder & CEO,BillClap,https://in.linkedin.com/in/gaurav-gupta-33a7b516b
 Preity Grewal,Director,BIMXPERT DESIGN SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/preeti-grewal-9a9bb140
 Tonmoy Shingal,Founder,Binocs,Not found
 Sanyogita Singh,City Manager,Bintix,https://in.linkedin.com/in/sanyogita-singh-0118231a0
 Shivakumar Bhuvanesh,Founder,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Not found
 Sammu Upeka Tharindi Thilini Mali,Founder and Directress,Bio Lanka Exports (Pvt.)Ltd.,https://lk.linkedin.com/in/upeka-thilini-mali-%F0%9F%87%B1%F0%9F%87%B0-57275112a
 VINEETHA A K,VINEETHA A K,Bio-Aryavedic Naturals Pvt Ltd,https://in.linkedin.com/in/vineetha-a-k-505094151
 SUKHWINDER SINGH,Sukhwinder Singh,BioBT Private Limited,https://in.linkedin.com/in/sukhwinder-singh-b07a5316
 Yuvraj Patil,Chairman and Managing Director,Biofizz Agritech PVT LTD,https://in.linkedin.com/in/yuvraj-patil-bb2582160
 Jaiteshwar Singh,managing director,Bioinspro,https://in.linkedin.com/in/jaiteshwar-singh-b14b7333
 Ayush Shukla,CEO,Biomandii,https://in.linkedin.com/in/ayush-biomandii
 Sumeet Popli,CEO,Biome Sustainability Ventures Pvt. Ltd.,https://in.linkedin.com/in/sumeetpopli
 Yasir Hussain,Directoe,Bionate Research Pvt Ltd,https://in.linkedin.com/in/yasir-hussain-2546476b
 Sachin Holkar,sachin holkar,Biopan Scientific Pvt Ltd,https://in.linkedin.com/in/sachin-holkar-171323b9
 Bijayananda Panigrahi,Founder,Biopioneer pvt ltd,https://in.linkedin.com/in/dr-bijayananda-panigrahi-bb885b98
 Anupam Lavania,CEO,Bioscan Research Pvt. Ltd.,https://in.linkedin.com/in/anupamlavania
 VIKRANT PATIAL,Biovantis Helathcare Pvt. Ltd,Biovantis Healthcare Private Limited,https://in.linkedin.com/in/vikrant-patial-99b21814
 Vivek Manoharan,Co Founder & Chief Strategic Officer,Bipolar Factory Private Limited,https://in.linkedin.com/in/vivek-manoharan
 RAJNISH KUMAR,RAJNISH KUMAR,BIRO POWER PVT LTD,https://in.linkedin.com/in/rajnish-kumar-7655822a
 Jaydeep Saha,"Founder , CEO",BISUDDHA ENTERPRISES PVT LTD,https://in.linkedin.com/in/jaydeep-saha-000a9a141
 Ankit Kamra,Director,BIZCOVR TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/ankit-kamra-90498032
 Amit Kumar,Ceo,Bizhelp Technology and Advisory Private Limited,https://in.linkedin.com/in/amit-kumar-a8221717a
